#HeroicDeath Data Log - This file stores serialized data on player deaths in the following order:
#Victim|Killer|Murder Weapon|Cause of Death|Location|Timestamp|Death Message
#Murder weapon is in the format TypeIDxData, so Red Wool would be 35x14
#Location is in the format (x, y, z), and represents where the victim died.
Hobby203|||LAVA|world_hoth (271.0,65.0,373.0)|11/14/2011 20:31:00 GMT|Hobby203 became obsidian
proatwork|Creeper||ENTITY_EXPLOSION|world_hoth (-203.0,64.0,-192.0)|11/14/2011 20:57:50 GMT|proatwork was creeper bombed
th3ant|Zombie||ENTITY_ATTACK|world_hoth (-161.0,66.0,-186.0)|11/14/2011 21:20:55 GMT|th3ant was killed by an angry Zombie
th3ant|Creeper||ENTITY_EXPLOSION|world_hoth (-163.0,64.0,-197.0)|11/14/2011 21:27:01 GMT|th3ant hugged a creeper
Abrahamarmite|||LAVA|world_hoth (272.0,64.0,373.0)|11/14/2011 21:35:32 GMT|Abrahamarmite was killed by lava
Hobby203|||LAVA|world_hoth (258.0,64.0,377.0)|11/14/2011 21:52:34 GMT|Hobby203 was killed by lava
hornymonkey100|||FALL|world_hoth (160.0,67.0,164.0)|11/15/2011 20:10:48 GMT|hornymonkey100 fell to their death
hornymonkey100|Creeper||ENTITY_EXPLOSION|world_hoth (-234.0,59.0,-209.0)|11/15/2011 20:28:32 GMT|hornymonkey100 hugged a creeper
hornymonkey100|Spider||ENTITY_ATTACK|world_hoth (-133.0,67.0,-198.0)|11/15/2011 20:46:58 GMT|hornymonkey100 was killed by an angry Spider
hornymonkey100|||FALL|world_hoth (-95.0,72.0,-192.0)|11/15/2011 20:54:43 GMT|hornymonkey100 fell to their death
th3ant|Creeper||ENTITY_EXPLOSION|world_hoth (-163.0,66.0,-197.0)|11/15/2011 21:15:16 GMT|th3ant hugged a creeper
th3ant|||SUICIDE|world_hoth (-162.0,66.0,-189.0)|11/16/2011 17:24:04 GMT|th3ant committed suicide.
th3ant|Creeper||ENTITY_EXPLOSION|world_hoth (-162.0,65.0,-207.0)|11/16/2011 20:12:47 GMT|th3ant was creeper bombed
th3ant|||SUICIDE|world_hoth (-163.0,66.0,-188.0)|11/16/2011 21:08:15 GMT|th3ant committed suicide.
8Doogie|Skeleton||ENTITY_ATTACK|world_hoth (-256.0,62.0,-250.0)|11/17/2011 21:37:03 GMT|8Doogie was killed by an angry Skeleton
th3ant|Creeper||ENTITY_EXPLOSION|world_hoth (-163.0,64.0,-198.0)|11/17/2011 21:47:32 GMT|th3ant was creeper bombed
th3ant|||SUFFOCATION|world_hoth (-162.0,66.0,-190.0)|11/18/2011 16:54:35 GMT|th3ant suffocated
th3ant|Creeper||ENTITY_EXPLOSION|world_hoth (-181.0,63.0,-153.0)|11/18/2011 16:57:22 GMT|th3ant hugged a creeper
th3ant|Skeleton||ENTITY_ATTACK|world_hoth (-142.0,47.0,-126.0)|11/18/2011 17:02:41 GMT|th3ant was killed by an angry Skeleton
Hobby203|||SUICIDE|world_hoth (-153.0,53.0,-115.0)|11/18/2011 17:09:04 GMT|Hobby203 decided to end it all.
JamzeeBoii|Zombie||ENTITY_ATTACK|world_hoth (-138.0,47.0,-131.0)|11/18/2011 18:55:10 GMT|JamzeeBoii was killed by an angry Zombie
Hobby203|||FIRE_TICK|world_hoth (-218.0,50.0,-164.0)|11/20/2011 12:29:37 GMT|Hobby203 burned to death
Hobby203|||LAVA|world_hoth (457.0,63.0,119.0)|11/20/2011 12:38:33 GMT|Hobby203 took a bath in a lake of fire
Hobby203|||LAVA|world_hoth (458.0,62.0,120.0)|11/20/2011 12:39:02 GMT|Hobby203 became obsidian
Hobby203|||VOID|world_hoth_skylands (155.0,-72.0,-818.0)|11/20/2011 15:02:03 GMT|Hobby203 fell into the Void
th3ant|||FIRE_TICK|world_hoth_nether (30.0,69.0,-1.0)|11/20/2011 17:52:18 GMT|th3ant burned to death
JamzeeBoii|||FALL|world_hoth (-166.0,63.0,-156.0)|11/20/2011 19:52:54 GMT|JamzeeBoii took a leap of faith
JamzeeBoii|Skeleton||ENTITY_ATTACK|world_hoth (-178.0,63.0,-155.0)|11/20/2011 19:54:24 GMT|JamzeeBoii was killed by an angry Skeleton
matt1217|Spider||ENTITY_ATTACK|world_hoth (-148.0,47.0,-123.0)|11/20/2011 20:17:32 GMT|matt1217 was killed by an angry Spider
th3ant|||FIRE_TICK|world_hoth_nether (41.0,69.0,6.0)|11/20/2011 20:50:32 GMT|th3ant forgot how to stop, drop and roll
th3ant|||LAVA|world_hoth_nether (-163.0,25.0,-188.0)|11/20/2011 20:53:27 GMT|th3ant took a bath in a lake of fire
th3ant|||FALL|world_hoth (-224.0,64.0,-172.0)|11/20/2011 21:12:13 GMT|th3ant took a leap of faith
matt1217|||DROWNING|world_hoth (-219.0,62.0,-457.0)|11/20/2011 21:14:03 GMT|matt1217 is swimming with the fishes
matt1217|||FIRE|world_hoth (-225.0,63.0,-470.0)|11/20/2011 21:27:37 GMT|matt1217 burned to death
matt1217|Skeleton||ENTITY_ATTACK|world_hoth (-233.0,71.0,-117.0)|11/20/2011 22:03:06 GMT|matt1217 was killed by an angry Skeleton
matt1217|||FALL|world_hoth (-115.0,2.0,-223.0)|11/20/2011 22:18:35 GMT|matt1217 took a leap of faith
matt1217|Zombie||ENTITY_ATTACK|world_hoth (-122.0,68.0,-181.0)|11/20/2011 22:19:27 GMT|matt1217 was killed by an angry Zombie
matt1217|||DROWNING|world_hoth (-115.0,53.0,-223.0)|11/20/2011 22:23:54 GMT|matt1217 drowned
JamzeeBoii|||FALL|world_hoth (-168.0,63.0,-156.0)|11/21/2011 18:50:19 GMT|JamzeeBoii took a leap of faith
th3ant|Zombie||ENTITY_ATTACK|world_hoth (-122.0,47.0,-119.0)|11/21/2011 19:54:14 GMT|th3ant was killed by an angry Zombie
th3ant|Zombie||ENTITY_ATTACK|world_hoth (-124.0,47.0,-130.0)|11/21/2011 19:55:30 GMT|th3ant was killed by an angry Zombie
Trueblue62|||VOID|world_hoth (755.0,-84.0,-1737.0)|11/21/2011 20:31:32 GMT|Trueblue62 fell into the Void
matt1217|Spider||ENTITY_ATTACK|world_hoth (-152.0,47.0,-131.0)|11/21/2011 21:01:18 GMT|matt1217 was killed by an angry Spider
matt1217|||DROWNING|world_hoth (-218.0,53.0,-458.0)|11/21/2011 21:34:11 GMT|matt1217 took a long walk off a short pier
JamzeeBoii|||DROWNING|world_hoth (-218.0,59.0,-458.0)|11/21/2011 21:34:57 GMT|JamzeeBoii drowned
Trueblue62|||VOID|world_hoth_skylands (-788.0,-84.0,337.0)|11/22/2011 16:54:05 GMT|Trueblue62 fell into the Void
Hobby203|||FALL|world_hoth (-275.0,68.0,-211.0)|11/22/2011 18:57:20 GMT|Hobby203 took a leap of faith
Trueblue62|||VOID|world_hoth_skylands (-779.0,-90.0,1409.0)|11/22/2011 20:36:57 GMT|Trueblue62 fell into the Void
Abrahamarmite|||VOID|world_hoth_skylands (-780.0,-91.0,1403.0)|11/22/2011 20:37:09 GMT|Abrahamarmite fell into the Void
Omnomnoms|||VOID|world_hoth_skylands (-618.0,-96.0,-290.0)|11/22/2011 20:40:08 GMT|Omnomnoms fell into the Void
Abrahamarmite|||VOID|world_hoth_skylands (-354.0,-96.0,130.0)|11/22/2011 20:40:20 GMT|Abrahamarmite fell into the Void
Hobby203|||LAVA|world_hoth (-266.0,62.0,-448.0)|11/23/2011 16:35:24 GMT|Hobby203 took a bath in a lake of fire
Hansomesolo|||SUICIDE|world_hoth (-2.0,39.0,-218.0)|11/23/2011 20:39:30 GMT|Hansomesolo committed suicide.
Hansomesolo|||DROWNING|world_hoth (-217.0,57.0,-458.0)|11/23/2011 20:54:06 GMT|Hansomesolo drowned
Hansomesolo|Creeper||ENTITY_EXPLOSION|world_hoth (-292.0,36.0,-181.0)|11/23/2011 21:04:02 GMT|Hansomesolo hugged a creeper
Omnomnoms|||VOID|world_hoth_skylands (-163.0,-139.0,-420.0)|11/25/2011 21:42:28 GMT|Omnomnoms fell into the Void
hampster900|||VOID|world_hoth_skylands (-787.0,-90.0,337.0)|11/25/2011 22:56:45 GMT|hampster900 fell into the Void
hampster900|||VOID|world_hoth_skylands (-787.0,-87.0,337.0)|11/25/2011 22:57:21 GMT|hampster900 fell into the Void
Hobby203|||LAVA|world_hoth (-139.0,62.0,-165.0)|11/26/2011 16:09:06 GMT|Hobby203 took a bath in a lake of fire
Omnomnoms|||VOID|world_hoth_skylands (-793.0,-90.0,340.0)|11/26/2011 17:22:53 GMT|Omnomnoms fell into the Void
hampster900|||LAVA|world_hoth (-214.0,64.0,-189.0)|11/26/2011 17:42:33 GMT|hampster900 was killed by lava
hampster900|||LAVA|world_hoth (-215.0,64.0,-189.0)|11/26/2011 17:42:51 GMT|hampster900 was killed by lava
hampster900|||LAVA|world_hoth (-215.0,64.0,-190.0)|11/26/2011 17:43:09 GMT|hampster900 became obsidian
hampster900|||FIRE|world_hoth (-220.0,48.0,-173.0)|11/26/2011 17:44:21 GMT|hampster900 burned to death
hampster900|||LAVA|world_hoth (-213.0,64.0,-190.0)|11/26/2011 17:46:04 GMT|hampster900 took a bath in a lake of fire
hampster900|||LAVA|world_hoth (-215.0,64.0,-189.0)|11/26/2011 17:46:23 GMT|hampster900 became obsidian
Omnomnoms|||VOID|world_hoth_skylands (-322.0,-90.0,205.0)|11/27/2011 10:41:32 GMT|Omnomnoms fell into the Void
Hobby203|Zombie||ENTITY_ATTACK|world_hoth (-208.0,62.0,-810.0)|11/27/2011 16:42:38 GMT|Hobby203 was killed by an angry Zombie
Omnomnoms|||VOID|world_hoth_skylands (-22.0,-96.0,273.0)|11/27/2011 21:03:51 GMT|Omnomnoms fell into the Void
Trueblue62|||VOID|world_hoth_skylands (-23.0,-85.0,272.0)|11/27/2011 21:03:54 GMT|Trueblue62 fell into the Void
JamzeeBoii|||FALL|world_hoth (-188.0,67.0,26.0)|11/28/2011 20:35:49 GMT|JamzeeBoii took a leap of faith
Omnomnoms|||DROWNING|world_hoth (-261.0,47.0,-276.0)|11/28/2011 20:43:32 GMT|Omnomnoms took a long walk off a short pier
BeanMachine234|Omnomnoms|283x4|ENTITY_ATTACK|world_hoth (-193.0,65.0,-143.0)|11/28/2011 20:51:06 GMT|Omnomnoms killed BeanMachine234 wielding gold sword
Omnomnoms|||FALL|world_hoth (-128.0,66.0,-172.0)|11/28/2011 20:52:41 GMT|Omnomnoms took a leap of faith
leon1236|||FALL|world_hoth (-204.0,69.0,-195.0)|11/28/2011 21:17:06 GMT|leon1236 took a leap of faith
leon1236|||SUICIDE|world_hoth (-188.0,63.0,-112.0)|11/28/2011 21:22:11 GMT|leon1236 decided to end it all.
leon1236|||FALL|world_hoth (-85.0,78.0,-112.0)|11/28/2011 21:37:44 GMT|leon1236 fell to their death
leon1236|||FALL|world_hoth (-211.0,37.0,-69.0)|11/28/2011 21:47:38 GMT|leon1236 took a leap of faith
BeanMachine234|||LAVA|world_hoth (-235.0,10.0,-186.0)|11/29/2011 12:38:51 GMT|BeanMachine234 took a bath in a lake of fire
RadonGaming|||VOID|world_hoth_skylands (-21.0,-81.0,272.0)|11/29/2011 16:17:20 GMT|RadonGaming fell into the Void
leon1236|Creeper||ENTITY_EXPLOSION|world_hoth (-106.0,64.0,-71.0)|11/29/2011 16:54:04 GMT|leon1236 hugged a creeper
Hobby203|||SUICIDE|world_hoth (-131.0,51.0,-95.0)|11/29/2011 21:29:17 GMT|Hobby203 committed suicide.
th3ant|||FALL|world_hoth (-114.0,2.0,-184.0)|11/29/2011 21:36:35 GMT|th3ant took a leap of faith
RadonGaming|||VOID|world_hoth_skylands (-164.0,-77.0,-420.0)|11/30/2011 14:10:24 GMT|RadonGaming fell into the Void
Hobby203|||SUICIDE|world_hoth (-265.0,56.0,-65.0)|11/30/2011 17:17:12 GMT|Hobby203 committed suicide.
Abrahamarmite|Omnomnoms|276x0|ENTITY_ATTACK|world_hoth (880.0,70.0,1166.0)|11/30/2011 17:23:49 GMT|Omnomnoms killed Abrahamarmite wielding diamond sword
Omnomnoms|||FALL|world_hoth (865.0,76.0,1190.0)|11/30/2011 17:30:54 GMT|Omnomnoms fell to their death
Omnomnoms|||LAVA|world_hoth (865.0,73.0,1192.0)|11/30/2011 17:31:50 GMT|Omnomnoms was killed by lava
Abrahamarmite|||LAVA|world_hoth (865.0,73.0,1192.0)|11/30/2011 17:31:57 GMT|Abrahamarmite took a bath in a lake of fire
JamzeeBoii|||FALL|world_hoth (-201.0,78.0,-438.0)|11/30/2011 20:18:46 GMT|JamzeeBoii fell to their death
Omnomnoms|Hobby203|352x0|ENTITY_ATTACK|world_hoth (-164.0,60.0,-166.0)|11/30/2011 20:59:21 GMT|Hobby203 killed Omnomnoms wielding bone
leon1236|Creeper||ENTITY_EXPLOSION|world_hoth (-930.0,37.0,760.0)|11/30/2011 21:59:03 GMT|leon1236 was creeper bombed
JamzeeBoii|leon1236|267x13|ENTITY_ATTACK|world_hoth (-164.0,61.0,-169.0)|11/30/2011 22:21:10 GMT|leon1236 killed JamzeeBoii wielding iron sword
Hobby203|||FALL|world_hoth (-138.0,68.0,-5.0)|12/01/2011 19:42:25 GMT|Hobby203 fell to their death
JamzeeBoii|||FALL|world_hoth (-220.0,69.0,-439.0)|12/01/2011 20:58:05 GMT|JamzeeBoii fell to their death
leon1236|PigZombie||ENTITY_ATTACK|world_hoth_nether (65.0,76.0,-57.0)|12/02/2011 20:18:52 GMT|leon1236 was killed by an angry PigZombie
Trueblue62|Hobby203|276x2|ENTITY_ATTACK|world_hoth (-160.0,65.0,-141.0)|12/03/2011 15:43:22 GMT|Hobby203 killed Trueblue62 wielding diamond sword
Trueblue62|Hobby203|276x5|ENTITY_ATTACK|world_hoth (-157.0,64.0,-137.0)|12/03/2011 15:44:28 GMT|Hobby203 killed Trueblue62 wielding diamond sword
Trueblue62|Hobby203|276x8|ENTITY_ATTACK|world_hoth (-129.0,65.0,-136.0)|12/03/2011 15:45:12 GMT|Hobby203 killed Trueblue62 wielding diamond sword
Hobby203|||SUICIDE|world_hoth (-150.0,62.0,-219.0)|12/03/2011 15:46:30 GMT|Hobby203 decided to end it all.
Trueblue62|Hobby203|276x16|ENTITY_ATTACK|world_hoth (-186.0,69.0,-189.0)|12/03/2011 15:56:14 GMT|Hobby203 killed Trueblue62 wielding diamond sword
Trueblue62|Hobby203|276x19|ENTITY_ATTACK|world_hoth (-185.0,65.0,-201.0)|12/03/2011 15:57:31 GMT|Hobby203 killed Trueblue62 wielding diamond sword
aambss|||FALL|world_hoth (-232.0,73.0,-106.0)|12/03/2011 17:45:22 GMT|aambss fell to their death
smellaykelly|aambss|274x93|ENTITY_ATTACK|world_hoth (-202.0,64.0,-116.0)|12/03/2011 23:23:48 GMT|aambss killed smellaykelly wielding stone pickaxe
Hobby203|Zombie||ENTITY_ATTACK|world_hoth (-2498.0,64.0,-930.0)|12/04/2011 12:20:57 GMT|Hobby203 was killed by an angry Zombie
Hobby203|||SUICIDE|world_hoth (-2433.0,95.0,-933.0)|12/04/2011 14:36:31 GMT|Hobby203 committed suicide.
BeanMachine234|||FALL|world_hoth (-475.0,63.0,-348.0)|12/04/2011 15:45:01 GMT|BeanMachine234 took a leap of faith
BeanMachine234|||FALL|world_hoth (-198.0,64.0,-185.0)|12/04/2011 15:46:15 GMT|BeanMachine234 fell to their death
akextra|||FALL|world_hoth (-197.0,26.0,-89.0)|12/04/2011 15:46:48 GMT|akextra took a leap of faith
BeanMachine234|Zombie||ENTITY_ATTACK|world_hoth (-258.0,26.0,-157.0)|12/04/2011 15:53:37 GMT|BeanMachine234 was killed by an angry Zombie
BeanMachine234|||DROWNING|world_hoth (-202.0,62.0,-154.0)|12/04/2011 16:36:44 GMT|BeanMachine234 is swimming with the fishes
akextra|||FALL|world_hoth (-201.0,25.0,-87.0)|12/04/2011 16:57:07 GMT|akextra took a leap of faith
smellaykelly|Zombie||ENTITY_ATTACK|world_hoth (-2509.0,64.0,-948.0)|12/04/2011 17:05:17 GMT|smellaykelly was killed by an angry Zombie
akextra|Spider||ENTITY_ATTACK|world_hoth (-165.0,64.0,-136.0)|12/04/2011 18:59:44 GMT|akextra was killed by an angry Spider
akextra|||FALL|world_hoth (-200.0,25.0,-88.0)|12/04/2011 19:31:18 GMT|akextra fell to their death
akextra|||FALL|world_hoth (-108.0,71.0,-210.0)|12/04/2011 19:45:56 GMT|akextra took a leap of faith
leon1236|||VOID|world_hoth_skylands (-788.0,-94.0,337.0)|12/04/2011 20:00:47 GMT|leon1236 fell into the Void
akextra|Spider||ENTITY_ATTACK|world_hoth (-172.0,63.0,-202.0)|12/04/2011 20:07:03 GMT|akextra was killed by an angry Spider
leon1236|||VOID|world_hoth_skylands (-787.0,-95.0,337.0)|12/04/2011 20:12:51 GMT|leon1236 fell into the Void
akextra|||FALL|world_hoth (-200.0,26.0,-86.0)|12/04/2011 20:18:35 GMT|akextra fell to their death
akextra|Hobby203|276x2|ENTITY_ATTACK|world_hoth (-209.0,64.0,-117.0)|12/04/2011 20:57:56 GMT|Hobby203 killed akextra wielding diamond sword
akextra|Skeleton||ENTITY_ATTACK|world_hoth (-268.0,64.0,-164.0)|12/04/2011 21:02:23 GMT|akextra was killed by an angry Skeleton
proatwork|||SUFFOCATION|world_hoth (-226.0,68.0,-99.0)|12/04/2011 22:13:12 GMT|proatwork suffocated
aambss|Creeper||ENTITY_EXPLOSION|world_hoth (-176.0,64.0,-143.0)|12/04/2011 22:51:06 GMT|aambss was creeper bombed
proatwork|||FALL|world_hoth (45.0,88.0,-158.0)|12/04/2011 23:17:42 GMT|proatwork took a leap of faith
proatwork|||FALL|world_hoth (17.0,69.0,-170.0)|12/04/2011 23:47:46 GMT|proatwork took a leap of faith
proatwork|||FIRE_TICK|world_hoth (17.0,82.0,-164.0)|12/05/2011 00:29:33 GMT|proatwork forgot how to stop, drop and roll
akextra|||FALL|world_hoth (-198.0,26.0,-90.0)|12/05/2011 17:08:44 GMT|akextra fell to their death
akextra|||FALL|world_hoth (-200.0,25.0,-87.0)|12/05/2011 17:40:08 GMT|akextra took a leap of faith
akextra|||FALL|world_hoth_nether (0.0,35.0,3.0)|12/05/2011 17:51:58 GMT|akextra took a leap of faith
akextra|||SUFFOCATION|world_hoth (-147.0,63.0,-228.0)|12/05/2011 18:19:02 GMT|akextra suffocated
akextra|||DROWNING|world_hoth (-198.0,64.0,-178.0)|12/06/2011 17:20:36 GMT|akextra took a long walk off a short pier
akextra|||DROWNING|world_hoth (-2506.0,64.0,-940.0)|12/06/2011 17:34:32 GMT|akextra drowned
aambss|||DROWNING|world_hoth (-2536.0,48.0,-908.0)|12/06/2011 18:38:50 GMT|aambss drowned
Hobby203|||SUICIDE|world_hoth (-2613.0,56.0,-898.0)|12/06/2011 19:35:48 GMT|Hobby203 committed suicide.
akextra|||FALL|world_hoth (-200.0,26.0,-88.0)|12/06/2011 21:40:53 GMT|akextra took a leap of faith
Abrahamarmite|||LAVA|world_hoth (122.0,70.0,214.0)|12/06/2011 22:08:56 GMT|Abrahamarmite took a bath in a lake of fire
Abrahamarmite|||LAVA|world_hoth (119.0,70.0,214.0)|12/06/2011 22:09:01 GMT|Abrahamarmite was killed by lava
Abrahamarmite|||LAVA|world_hoth (119.0,70.0,215.0)|12/06/2011 22:09:06 GMT|Abrahamarmite became obsidian
Abrahamarmite|||LAVA|world_hoth (124.0,70.0,216.0)|12/06/2011 22:09:19 GMT|Abrahamarmite took a bath in a lake of fire
Omnomnoms|||LAVA|world_hoth (119.0,63.0,223.0)|12/06/2011 22:09:19 GMT|Omnomnoms took a bath in a lake of fire
akextra|L337Mods|4x0|ENTITY_ATTACK|world_hoth (-134.0,62.0,-76.0)|12/07/2011 17:10:16 GMT|L337Mods killed akextra wielding cobblestone
akextra|||LAVA|world_hoth (-195.0,28.0,-90.0)|12/07/2011 17:27:46 GMT|akextra became obsidian
akextra|||LAVA|world_hoth (-196.0,28.0,-88.0)|12/07/2011 17:28:11 GMT|akextra became obsidian
akextra|||FALL|world_hoth (-196.0,28.0,-87.0)|12/07/2011 17:28:42 GMT|akextra took a leap of faith
akextra|||FALL|world_hoth (-197.0,31.0,-84.0)|12/07/2011 17:29:11 GMT|akextra took a leap of faith
akextra|||FALL|world_hoth (-191.0,26.0,-93.0)|12/07/2011 17:29:42 GMT|akextra fell to their death
akextra|Hobby203|276x1|ENTITY_ATTACK|world_hoth (-2497.0,64.0,-933.0)|12/07/2011 17:35:02 GMT|Hobby203 killed akextra wielding diamond sword
Hobby203|||SUICIDE|world_hoth (-215.0,64.0,-176.0)|12/07/2011 20:16:22 GMT|Hobby203 committed suicide.
akextra|||FALL|world_hoth (-200.0,25.0,-86.0)|12/08/2011 15:45:20 GMT|akextra took a leap of faith
deadly_migit|||FALL|world_hoth (-204.0,26.0,-85.0)|12/08/2011 18:26:30 GMT|deadly_migit took a leap of faith
AraSyn|Spider||ENTITY_ATTACK|world_hoth (258.0,70.0,246.0)|12/08/2011 23:53:49 GMT|AraSyn was killed by an angry Spider
Hobby203|||SUICIDE|world_hoth (106.0,94.0,40.0)|12/09/2011 16:49:24 GMT|Hobby203 committed suicide.
Hobby203|||SUICIDE|world_hoth (103.0,48.0,43.0)|12/09/2011 16:51:30 GMT|Hobby203 committed suicide.
Hobby203|||SUICIDE|world_hoth (-114.0,33.0,-121.0)|12/09/2011 21:00:21 GMT|Hobby203 committed suicide.
Hobby203|||SUICIDE|world_hoth (-251.0,47.0,-277.0)|12/09/2011 21:58:58 GMT|Hobby203 decided to end it all.
Omnomnoms|||LAVA|world_hoth (-115.0,36.0,-133.0)|12/09/2011 22:06:29 GMT|Omnomnoms was killed by lava
Omnomnoms|Hobby203|276x1|ENTITY_ATTACK|world_hoth (-128.0,64.0,-124.0)|12/09/2011 22:08:02 GMT|Hobby203 killed Omnomnoms wielding diamond sword
Omnomnoms|Hobby203|276x3|ENTITY_ATTACK|world_hoth (-179.0,63.0,-210.0)|12/09/2011 22:22:05 GMT|Hobby203 killed Omnomnoms wielding diamond sword
akextra|||FALL|world_hoth (-199.0,26.0,-88.0)|12/10/2011 08:15:50 GMT|akextra took a leap of faith
akextra|Zombie||ENTITY_ATTACK|world_hoth (-246.0,51.0,-173.0)|12/10/2011 18:02:20 GMT|akextra was killed by an angry Zombie
akextra|||FALL|world_hoth (-204.0,28.0,-89.0)|12/10/2011 18:02:59 GMT|akextra fell to their death
akextra|||FIRE|world_hoth (-196.0,25.0,-88.0)|12/10/2011 21:20:58 GMT|akextra forgot how to stop, drop and roll
akextra|||FALL|world_hoth (-113.0,69.0,-229.0)|12/10/2011 21:25:20 GMT|akextra took a leap of faith
akextra|aambss|274x12|ENTITY_ATTACK|world_hoth (-176.0,63.0,-156.0)|12/10/2011 21:27:46 GMT|aambss killed akextra wielding stone pickaxe
akextra|smellaykelly|3x0|ENTITY_ATTACK|world_hoth (-166.0,60.0,-169.0)|12/10/2011 21:31:58 GMT|smellaykelly killed akextra wielding dirt
smellaykelly|aambss|274x22|ENTITY_ATTACK|world_hoth (-175.0,63.0,-164.0)|12/10/2011 21:32:34 GMT|aambss killed smellaykelly wielding stone pickaxe
akextra|||DROWNING|world_hoth (-179.0,63.0,-163.0)|12/10/2011 21:35:58 GMT|akextra took a long walk off a short pier
smellaykelly|aambss|274x48|ENTITY_ATTACK|world_hoth (-134.0,66.0,-157.0)|12/10/2011 21:42:24 GMT|aambss killed smellaykelly wielding stone pickaxe
smellaykelly|aambss|274x66|ENTITY_ATTACK|world_hoth (-183.0,64.0,-162.0)|12/10/2011 21:43:22 GMT|aambss killed smellaykelly wielding stone pickaxe
aambss|akextra|267x-113|ENTITY_ATTACK|world_hoth (-191.0,66.0,-96.0)|12/10/2011 21:59:48 GMT|akextra killed aambss wielding iron sword
akextra|||FALL|world_hoth (-200.0,26.0,-87.0)|12/10/2011 22:07:48 GMT|akextra took a leap of faith
akextra|aambss|274x10|ENTITY_ATTACK|world_hoth (-201.0,64.0,-122.0)|12/10/2011 22:08:17 GMT|aambss killed akextra wielding stone pickaxe
aambss|Creeper||ENTITY_EXPLOSION|world_hoth (-237.0,64.0,-146.0)|12/10/2011 22:38:29 GMT|aambss was creeper bombed
smellaykelly|Creeper||ENTITY_EXPLOSION|world_hoth (-204.0,64.0,-109.0)|12/11/2011 02:24:46 GMT|smellaykelly hugged a creeper
smellaykelly|||FIRE_TICK|world_hoth (-208.0,64.0,-117.0)|12/11/2011 02:28:30 GMT|smellaykelly burned to death
smellaykelly|Creeper||ENTITY_EXPLOSION|world_hoth (-150.0,64.0,-255.0)|12/11/2011 11:42:24 GMT|smellaykelly hugged a creeper
smellaykelly|Skeleton||ENTITY_ATTACK|world_hoth (-167.0,58.0,-238.0)|12/11/2011 11:43:13 GMT|smellaykelly was killed by an angry Skeleton
smellaykelly|Zombie||ENTITY_ATTACK|world_hoth (-149.0,62.0,-258.0)|12/11/2011 11:43:55 GMT|smellaykelly was killed by an angry Zombie
smellaykelly|Spider||ENTITY_ATTACK|world_hoth (-141.0,65.0,-252.0)|12/11/2011 11:44:54 GMT|smellaykelly was killed by an angry Spider
aambss|Spider||ENTITY_ATTACK|world_hoth (-147.0,62.0,-260.0)|12/11/2011 11:45:23 GMT|aambss was killed by an angry Spider
smellaykelly|||VOID|world_hoth (-188.0,-190.0,-161.0)|12/11/2011 14:07:21 GMT|smellaykelly fell into the Void
smellaykelly|Hobby203|269x39|ENTITY_ATTACK|world_hoth (-165.0,60.0,-171.0)|12/11/2011 14:25:09 GMT|Hobby203 killed smellaykelly wielding wooden shovel
Hobby203|smellaykelly|0x-1|ENTITY_ATTACK|world_hoth (-167.0,61.0,-168.0)|12/11/2011 14:25:38 GMT|smellaykelly killed Hobby203 wielding fists
L337Mods|||VOID|world_hoth_skylands (-788.0,-84.0,336.0)|12/11/2011 16:53:22 GMT|L337Mods fell into the Void
akextra|||FALL|world_hoth (-200.0,26.0,-87.0)|12/11/2011 20:50:06 GMT|akextra took a leap of faith
Hobby203|||SUICIDE|world_hoth (-2550.0,74.0,-942.0)|12/12/2011 17:23:36 GMT|Hobby203 decided to end it all.
L337Mods|||SUICIDE|world_hoth (-91.0,69.0,-146.0)|12/12/2011 17:28:06 GMT|L337Mods committed suicide.
IProHead|Zombie||ENTITY_ATTACK|world_hoth (-1215.0,63.0,576.0)|12/12/2011 17:44:56 GMT|IProHead was killed by an angry Zombie
IProHead|Skeleton||ENTITY_ATTACK|world_hoth (-257.0,64.0,-72.0)|12/12/2011 18:27:30 GMT|IProHead was killed by an angry Skeleton
IProHead|Creeper||ENTITY_EXPLOSION|world_hoth (-226.0,64.0,-133.0)|12/12/2011 18:48:31 GMT|IProHead was creeper bombed
IProHead|Spider||ENTITY_ATTACK|world_hoth (-139.0,66.0,-179.0)|12/12/2011 18:50:44 GMT|IProHead was killed by an angry Spider
IProHead|Spider||ENTITY_ATTACK|world_hoth (-187.0,63.0,-125.0)|12/12/2011 19:05:56 GMT|IProHead was killed by an angry Spider
IProHead|Creeper||ENTITY_EXPLOSION|world_hoth (-175.0,64.0,-131.0)|12/12/2011 19:06:38 GMT|IProHead was creeper bombed
IProHead|Creeper||ENTITY_EXPLOSION|world_hoth (-201.0,64.0,-169.0)|12/12/2011 19:06:55 GMT|IProHead was creeper bombed
IProHead|Creeper||ENTITY_EXPLOSION|world_hoth (-225.0,63.0,-247.0)|12/12/2011 19:39:07 GMT|IProHead was creeper bombed
IProHead|Creeper||ENTITY_EXPLOSION|world_hoth (-242.0,63.0,-225.0)|12/12/2011 19:40:22 GMT|IProHead was creeper bombed
IProHead|||FALL|world_hoth (-181.0,63.0,-305.0)|12/12/2011 19:46:08 GMT|IProHead fell to their death
